feature_id,scope,owner,milestone,baseline_status,parity_status,parity_gate,evidence
platform_build_contract,macOS deployment architecture and toolchain,unassigned,02_metal_only_build_clear_frame,opengl_only,bootstrap_in_progress,macOS 13 or newer arm64 Metal target builds with offline shader libraries,indra/llwindow/metal/CMakeLists.txt
window_input_lifecycle,window surface resize scale occlusion input and IME,unassigned,02_metal_only_build_clear_frame,opengl_only,bootstrap_in_progress,CAMetalLayer lifecycle preserves the existing NSTextInputClient behavior,indra/llwindow/metal/llmetalbootstrap-objc.mm
renderer_abstraction,backend-neutral renderer contracts,unassigned,03_core_frame_resources_state,opengl_only,not_started,GL GLU and CGL types and calls are absent above the native Metal boundary,doc/metal/inventory-baseline.json
command_submission_sync,command buffers frames in flight and retirement,unassigned,03_core_frame_resources_state,opengl_only,not_started,three-frame completion-driven submission passes resize and occlusion stress,indra/llrender
resource_lifetime,buffers textures pipelines and deferred destruction,unassigned,03_core_frame_resources_state,opengl_only,not_started,resource generations retire only after their final command buffer completes,indra/llrender
buffers_vertex_layouts,vertex index uniform and staging buffers,unassigned,03_core_frame_resources_state,opengl_only,not_started,representative indexed and skinned draws match the OpenGL oracle,indra/llrender/llvertexbuffer.cpp
textures_samplers_uploads,texture formats sampling mipmaps and uploads,unassigned,03_core_frame_resources_state,opengl_only,not_started,format and sampler matrix matches oracle captures without per-frame allocation,indra/llrender/llimagegl.cpp
pipeline_state_cache,immutable render state and pipeline cache,unassigned,03_core_frame_resources_state,opengl_only,not_started,pipeline keys cover blend depth stencil raster vertex and attachment state,indra/llrender/llglstates.h
shader_translation_toolchain,GLSL to SPIR-V to MSL and offline metallib,unassigned,04_deterministic_shader_build,opengl_only,compiler_spike_verified,all ten mandatory shader families translate compile reflect link and pass semantic readbacks without per-shader patches,doc/metal/shader-spike-results.md
ui_fonts,UI widgets glyphs and text,unassigned,05_ui_fonts_login,opengl_only,not_started,golden UI and font scenes meet image thresholds at supported scales,indra/llrender/llfontgl.cpp
world_opaque_alpha,opaque alpha mask alpha blend and materials,unassigned,06_opaque_world_gbuffer,opengl_only,not_started,canonical world scenes preserve ordering depth blending and material output,indra/newview/lldrawpoolalpha.cpp
avatars_skinning,avatar meshes skinning rigging and impostors,unassigned,07_materials_avatars_alpha,opengl_only,not_started,avatar animation and attachment captures match the OpenGL oracle,indra/newview/lldrawpoolavatar.cpp
terrain_water_sky,terrain composition water atmosphere and sky,unassigned,06_opaque_world_gbuffer+08_lighting_environment_probes_post,opengl_only,not_started,environment scene matrix matches oracle across camera and time settings,indra/newview/lldrawpoolterrain.cpp
deferred_lighting_shadows,G-buffer lighting shadows and ambient effects,unassigned,08_lighting_environment_probes_post,opengl_only,not_started,deferred attachment and final-lighting captures meet parity thresholds,indra/newview/llviewershadermgr.cpp
pbr_reflections,PBR alpha modes probes and reflection composition,unassigned,07_materials_avatars_alpha+08_lighting_environment_probes_post,opengl_only,not_started,PBR material and probe matrix matches oracle with stable bindings,indra/newview/app_settings/shaders/class3/deferred
post_processing_picking_debug,AA post effects selection picking and debug overlays,unassigned,08_lighting_environment_probes_post+09_tools_queries_media_readback,opengl_only,not_started,post-process and interaction outputs match oracle captures,indra/newview/app_settings/shaders/class1/post
profiling_capabilities,GPU timings labels captures and support reporting,unassigned,10_uploads_performance_cutover,opengl_only,not_started,capability report and repeatable CPU GPU frame profiles cover supported hardware,doc/metal/inventory-baseline.json
cutover_cleanup,single Metal shipping renderer and OpenGL removal,unassigned,10_uploads_performance_cutover,opengl_only,not_started,no GL GLU or CGL API references renderer shaders link dependencies or dual-backend runtime remain,doc/metal/inventory-baseline.json
